date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:59:33	480/480	---MCZ	200	added ('OK')	text/plain	etag:cacheable:7c4adfea2baad07dbc22594ae945f39b	https://flybirdfitness.com/robots.txt		(from )
12:59:34	149677/149677	---MCZ	200	added ('OK')	text/html	etag:cacheable:2618ccbbec41fe3b47bb5162559b47c3	https://flybirdfitness.com/	C:/Users/radou/Desktop/flybirdfitness.com/flybirdfitness.com/index.html	(from )
12:59:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:35%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/jquery.min.js?v=51361781663439291661630048049	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/jquery.min.07b6b.delayed	(from https://flybirdfitness.com/)
12:59:36	84532/84532	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2003:04:30%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/jquery.min.js?v=51361781663439291661630048049	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/jquery.min7b6b.js	(from https://flybirdfitness.com/)
12:59:38	1142/1142	---M-Z	200	added ('OK')	application/javascript	etag:%22c4a0eea377c5e0da574e46f4d6e838e5%22	https://s.pinimg.com/ct/core.js	C:/Users/radou/Desktop/flybirdfitness.com/s.pinimg.com/ct/core.js	(from https://flybirdfitness.com/)
12:59:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:39%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/files/flybird_32x32_85feb3e2-628c-4b31-96a8-df3e5b7def9b_32x32.png?v=1616069810	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/files/flybird_32x32_85feb3e2-628c-4b31-96a8-df3e5b7def9b_32x32f3b7.png	(from https://flybirdfitness.com/)
12:59:38	1175/1175	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Apr%202022%2010:01:05%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/files/flybird_32x32_85feb3e2-628c-4b31-96a8-df3e5b7def9b_32x32.png?v=1616069810	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/files/flybird_32x32_85feb3e2-628c-4b31-96a8-df3e5b7def9b_32x32f3b7.png	(from https://flybirdfitness.com/)
12:59:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:39%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/global.js?v=103827909912933244691628662790	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/globala9b2.js	(from https://flybirdfitness.com/)
12:59:40	13556/13556	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2002:04:39%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/global.js?v=103827909912933244691628662790	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/globala9b2.js	(from https://flybirdfitness.com/)
12:59:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:42%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://flybirdfitness.com/)
12:59:41	1922/1922	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2016%20May%202022%2008:31:22%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://flybirdfitness.com/)
12:59:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:42%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://flybirdfitness.com/)
12:59:42	9921/9921	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:18:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://flybirdfitness.com/)
12:59:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:44%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/compiled_assets/scripts.js?7973	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/compiled_assets/scriptse334.js	(from https://flybirdfitness.com/)
12:59:44	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://flybirdfitness.com/)
12:59:44	8657/8657	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20May%202022%2003:32:20%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/compiled_assets/scripts.js?7973	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/compiled_assets/scriptse334.js	(from https://flybirdfitness.com/)
12:59:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:45%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/base.css?v=98638942515813959741639469899	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/baseada2.css	(from https://flybirdfitness.com/)
12:59:45	33622/33622	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:46:28%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/base.css?v=98638942515813959741639469899	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/baseada2.css	(from https://flybirdfitness.com/)
12:59:46	86737/86737	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:2ddd99c46f8171ccf5e06366c0dae903	https://flybirdfitness.com/POST	C:/Users/radou/Desktop/flybirdfitness.com/flybirdfitness.com/POST	(from https://flybirdfitness.com/)
12:59:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:47%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	(from https://flybirdfitness.com/)
12:59:47	80395/80395	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2003:38:01%20GMT	https://cdn.shopify.com/s/trekkie.storefront.14a2a604dac04b548cd8c6bdfd85448fc1df7da9.min.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/trekkie.storefront.14a2a604dac04b548cd8c6bdfd85448fc1df7da9.min.js	(from https://flybirdfitness.com/)
12:59:47	8110/8110	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2002:56:30%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	(from https://flybirdfitness.com/)
12:59:48	59352/59352	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:28:56%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://flybirdfitness.com/)
12:59:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:49%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-list-menu.css?v=125951855371068065091628668417	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-list-menu2583.css	(from https://flybirdfitness.com/)
12:59:50	186562/186562	---MCZ	200	added ('OK')	text/html	etag:cacheable:ca3f7cf2e988cf3a7b252ee7545c7137	https://flybirdfitness.com/pages/holiday-deal	C:/Users/radou/Desktop/flybirdfitness.com/flybirdfitness.com/pages/holiday-deal.html	(from https://flybirdfitness.com/)
12:59:50	480/480	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:46:29%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-list-menu.css?v=125951855371068065091628668417	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-list-menu2583.css	(from https://flybirdfitness.com/)
12:59:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2016%20May%202022%2011:59:51%20GMT	http://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-search.css?v=167115570631985863841625820642	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-searchb7bc.css	(from https://flybirdfitness.com/)
12:59:51	221/221	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2019:46:29%20GMT	https://cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-search.css?v=167115570631985863841625820642	C:/Users/radou/Desktop/flybirdfitness.com/cdn.shopify.com/s/files/1/0444/1256/7702/t/13/assets/component-searchb7bc.css	(from https://flybirdfitness.com/)
